2019-10-07 16:32:58,417 INFO  [main] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:182) - Finished Spring Data repository scanning in 93ms. Found 2 repository interfaces.
2019-10-07 16:32:58,750 INFO  [main] hikari.HikariDataSource (HikariDataSource.java:110) - HikariPool-1 - Starting...
2019-10-07 16:32:58,823 INFO  [main] hikari.HikariDataSource (HikariDataSource.java:123) - HikariPool-1 - Start completed.
2019-10-07 16:32:59,451 INFO  [main] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:415) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-10-07 16:32:59,691 INFO  [main] boot.StartupInfoLogger (StartupInfoLogger.java:59) - Started ThreadTestApplication in 1.924 seconds (JVM running for 2.575)
2019-10-07 16:37:18,922 INFO  [main] boot.StartupInfoLogger (StartupInfoLogger.java:50) - Starting ThreadTestApplication on oka-330S-15IKB with PID 730 (/home/oka/Workspace/thread-test/target/classes started by oka in /home/oka/Workspace/thread-test)
2019-10-07 16:37:18,926 INFO  [main] boot.SpringApplication (SpringApplication.java:648) - No active profile set, falling back to default profiles: default
2019-10-07 16:37:19,324 INFO  [main] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:126) - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-10-07 16:37:19,433 INFO  [main] config.RepositoryConfigurationDelegate (RepositoryConfigurationDelegate.java:182) - Finished Spring Data repository scanning in 101ms. Found 2 repository interfaces.
2019-10-07 16:37:19,790 INFO  [main] hikari.HikariDataSource (HikariDataSource.java:110) - HikariPool-1 - Starting...
2019-10-07 16:37:19,878 INFO  [main] hikari.HikariDataSource (HikariDataSource.java:123) - HikariPool-1 - Start completed.
2019-10-07 16:37:20,494 INFO  [main] jpa.AbstractEntityManagerFactoryBean (AbstractEntityManagerFactoryBean.java:415) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-10-07 16:37:20,722 INFO  [main] boot.StartupInfoLogger (StartupInfoLogger.java:59) - Started ThreadTestApplication in 2.032 seconds (JVM running for 2.645)
